ticker,timeframe,feature_set,confirmations,leverage,cooldown_hours,covariance_type,wf_sharpe,wf_return,wf_drawdown,wf_n_windows,wf_pos_windows,wf_trades,wf_win_rate,wf_mean_sharpe,wf_std_sharpe,wf_mean_return,wf_std_return,wf_initial_equity,wf_final_equity
X:XRPUSD,1h,full,6,2.0,72,full,-2.571,-32.89,-36.14,2,0,50,20.0,-2.58,0.326,-17.81,6.56,10000.0,6711.42
X:ETHUSD,4h,base,7,2.0,48,diag,-2.429,-19.02,-24.0,2,0,10,40.0,-2.529,1.851,-9.82,5.82,10000.0,8098.08
X:ETHUSD,2h,base,7,1.0,48,full,-1.722,-9.06,-12.86,2,1,31,45.2,-1.292,2.737,-4.36,7.32,10000.0,9093.62
X:SOLUSD,1h,base,7,1.0,72,full,-0.27,-2.55,-10.42,2,0,33,45.5,-0.285,0.109,-1.28,0.21,10000.0,9744.8
X:SOLUSD,2h,base,6,1.5,48,diag,-0.071,-4.45,-35.49,2,1,46,45.7,-0.361,4.491,2.12,29.59,10000.0,9554.97
X:XRPUSD,3h,extended,8,1.0,48,full,2.432,5.75,-2.83,2,2,3,100.0,3.393,0.057,2.87,2.69,10000.0,10574.79
X:ETHUSD,1h,base,7,1.5,48,diag,0.292,2.16,-12.73,2,2,41,56.1,0.312,0.086,1.07,0.55,10000.0,10216.05
X:SOLUSD,1h,full,8,2.0,72,full,-0.313,-1.67,-5.1,2,1,8,37.5,-0.659,1.607,-0.78,3.29,10000.0,9833.4
X:ETHUSD,3h,base,7,1.5,48,full,-3.998,-25.74,-32.05,2,0,20,25.0,-4.538,3.708,-13.34,9.18,10000.0,7425.73
X:SOLUSD,4h,full,8,2.0,72,full,-3.064,-3.78,-3.78,2,0,2,0.0,-2.167,2.167,-1.89,1.89,10000.0,9622.02
X:SOLUSD,3h,extended,8,1.0,48,diag,1.666,7.52,-11.42,2,1,8,37.5,0.797,3.733,4.1,9.25,10000.0,10751.79
X:SOLUSD,3h,full,6,1.5,48,diag,-2.868,-37.04,-52.73,2,1,43,41.9,-2.373,3.043,-18.16,20.05,10000.0,6296.35
X:BTCUSD,2h,base,6,1.5,72,full,-1.147,-20.65,-31.25,5,2,99,38.4,-1.31,3.047,-4.18,8.05,10000.0,7935.18
X:ETHUSD,1h,extended,6,1.0,48,diag,-0.734,-6.63,-12.9,2,0,37,43.2,-0.567,0.552,-3.32,3.18,10000.0,9336.75
X:SOLUSD,4h,extended,8,1.0,72,diag,-3.278,-7.02,-9.13,2,0,3,0.0,-3.218,0.766,-3.56,1.15,10000.0,9297.97
X:SOLUSD,4h,base,8,1.5,48,full,-0.3,-0.61,-4.75,2,0,2,50.0,-0.212,0.212,-0.3,0.3,10000.0,9938.93
X:ETHUSD,2h,full,8,2.0,72,full,-2.9,-14.98,-17.23,2,0,5,20.0,-2.967,0.107,-7.76,2.25,10000.0,8502.14
X:ETHUSD,4h,extended,8,1.5,48,diag,-1.168,-3.28,-6.23,2,0,3,66.7,-0.826,0.826,-1.64,1.64,10000.0,9671.64
X:ETHUSD,2h,base,6,2.0,48,full,-1.353,-20.55,-36.63,2,1,51,45.1,-0.835,4.301,-6.49,28.27,10000.0,7945.3
X:BTCUSD,2h,base,8,1.0,72,diag,-2.085,-8.62,-8.62,5,0,13,30.8,-1.837,2.06,-1.76,2.19,10000.0,9137.86
X:ETHUSD,1h,base,6,1.0,48,full,0.705,5.98,-11.24,2,1,67,38.8,0.632,0.759,3.03,3.92,10000.0,10598.02
X:XRPUSD,3h,full,6,2.0,48,diag,-0.331,-13.53,-30.45,2,0,39,38.5,-0.497,0.792,-6.93,3.78,10000.0,8646.93
X:ETHUSD,2h,full,8,2.0,48,full,-2.9,-14.98,-17.23,2,0,5,20.0,-2.967,0.107,-7.76,2.25,10000.0,8502.14
X:ETHUSD,1h,base,6,1.0,72,diag,-1.348,-13.17,-19.59,2,1,45,37.8,-1.253,1.601,-6.5,7.69,10000.0,8682.58
X:SOLUSD,1h,extended,6,2.0,72,full,-2.687,-55.53,-56.34,2,0,45,26.7,-2.628,0.634,-32.65,9.44,10000.0,4447.19
X:XRPUSD,2h,extended,7,1.0,72,full,-1.717,-10.89,-19.23,2,0,23,43.5,-1.663,0.88,-5.55,2.96,10000.0,8910.68
X:ETHUSD,4h,extended,7,1.5,72,full,-2.39,-18.8,-25.41,2,0,10,30.0,-2.513,0.437,-9.64,6.66,10000.0,8120.3
X:SOLUSD,1h,base,7,2.0,48,full,0.098,-0.72,-17.17,2,1,39,46.2,0.046,0.591,-0.27,4.17,10000.0,9928.28
X:XRPUSD,1h,full,6,1.0,72,diag,-2.128,-23.29,-30.78,2,0,38,28.9,-2.344,0.829,-12.41,1.51,10000.0,7670.69
X:BTCUSD,3h,full,6,1.5,48,full,-2.861,-33.45,-37.55,5,1,106,30.2,-3.169,2.452,-7.67,5.42,10000.0,6655.06
X:ETHUSD,2h,base,6,1.0,72,full,-1.823,-11.66,-15.86,2,1,40,42.5,-1.416,3.007,-5.52,9.61,10000.0,8833.52
X:ETHUSD,1h,full,6,1.0,48,diag,-0.969,-8.96,-18.54,2,0,44,40.9,-0.943,0.23,-4.56,1.81,10000.0,9104.48
X:SOLUSD,3h,base,7,1.0,48,diag,0.789,3.22,-6.51,2,2,14,42.9,0.815,0.408,1.6,0.94,10000.0,10322.46
X:XRPUSD,3h,base,7,2.0,72,diag,0.082,-2.45,-20.22,2,1,9,44.4,0.23,3.222,0.26,17.24,10000.0,9755.42
X:ETHUSD,1h,full,8,2.0,72,full,1.49,5.02,-1.88,2,1,5,80.0,0.991,1.594,2.52,3.13,10000.0,10501.77
X:SOLUSD,3h,base,7,1.5,48,diag,0.812,4.47,-9.72,2,2,14,42.9,0.834,0.367,2.22,1.3,10000.0,10447.27
X:XRPUSD,4h,base,6,2.0,48,diag,-2.849,-29.98,-45.1,2,0,24,41.7,-2.392,2.69,-15.02,14.84,10000.0,7001.91
X:XRPUSD,1h,base,7,1.0,48,diag,-0.911,-10.86,-24.79,2,1,40,45.0,-0.739,0.829,-5.43,5.46,10000.0,8914.42
X:XRPUSD,4h,base,6,1.5,72,diag,-7.318,-41.83,-46.7,2,0,22,31.8,-6.803,4.489,-22.32,14.79,10000.0,5816.69
X:ETHUSD,4h,extended,8,1.0,48,diag,-1.174,-2.15,-4.15,2,0,3,66.7,-0.83,0.83,-1.07,1.07,10000.0,9784.93
X:ETHUSD,3h,full,7,2.0,48,diag,-0.544,-8.03,-22.23,2,1,30,40.0,-0.298,1.143,-3.9,6.26,10000.0,9196.95
X:BTCUSD,3h,extended,8,1.5,72,diag,-0.672,-4.55,-8.28,5,2,9,44.4,-0.444,1.229,-0.9,2.29,10000.0,9545.44
X:XRPUSD,2h,extended,8,2.0,72,diag,3.286,20.05,-4.39,2,2,7,71.4,2.605,2.17,9.98,9.46,10000.0,12005.38
X:XRPUSD,2h,extended,6,1.0,72,full,-2.631,-19.01,-27.03,2,0,34,32.4,-3.103,2.378,-9.81,5.93,10000.0,8099.33
X:BTCUSD,2h,full,6,1.5,72,full,-1.477,-34.94,-37.46,5,1,97,36.1,-1.558,1.17,-7.86,8.16,10000.0,6506.34
X:SOLUSD,3h,base,8,2.0,72,diag,0.677,2.64,-8.61,2,1,3,66.7,0.478,0.478,1.32,1.32,10000.0,10264.02
X:BTCUSD,1h,full,8,1.0,48,full,-0.955,-4.93,-8.61,5,2,20,35.0,-0.773,2.457,-0.97,2.66,10000.0,9506.72
X:BTCUSD,3h,base,6,2.0,48,full,-1.962,-38.35,-54.91,5,2,99,35.4,-1.813,5.266,-7.13,19.2,10000.0,6164.92
X:BTCUSD,3h,full,8,1.0,48,diag,2.106,9.52,-5.16,5,3,13,69.2,2.39,2.96,1.87,2.76,10000.0,10952.02
X:XRPUSD,4h,full,8,1.0,48,diag,1.007,4.89,-15.07,2,1,7,57.1,0.924,0.742,2.45,2.54,10000.0,10488.81
X:BTCUSD,4h,base,6,1.0,72,diag,-1.319,-14.08,-26.65,5,2,60,41.7,-1.197,4.325,-2.62,8.63,10000.0,8591.56
X:SOLUSD,4h,base,6,1.0,72,full,1.966,14.22,-16.83,2,1,25,44.0,1.036,4.717,8.8,20.37,10000.0,11421.83
X:SOLUSD,1h,full,8,1.0,48,diag,0.239,1.34,-13.01,2,1,15,53.3,-0.006,0.489,0.68,1.53,10000.0,10133.5
X:XRPUSD,4h,base,8,2.0,48,diag,-0.91,-1.4,-2.54,2,0,1,0.0,-0.643,0.643,-0.7,0.7,10000.0,9859.76
X:BTCUSD,2h,base,7,2.0,72,full,-0.869,-17.81,-25.38,5,2,59,39.0,-0.807,3.347,-3.32,10.04,10000.0,8219.07
X:ETHUSD,4h,base,8,2.0,48,full,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
X:ETHUSD,4h,base,8,1.0,48,diag,-3.339,-3.69,-4.03,2,0,1,0.0,-2.363,2.363,-1.84,1.84,10000.0,9630.97
X:XRPUSD,4h,base,8,2.0,48,full,1.469,2.28,-2.63,2,1,1,100.0,1.038,1.038,1.14,1.14,10000.0,10227.72
X:XRPUSD,1h,full,7,2.0,72,full,-3.439,-34.76,-35.3,2,0,36,13.9,-3.225,2.492,-18.09,13.63,10000.0,6523.72
X:XRPUSD,3h,base,6,1.0,72,diag,2.598,21.49,-15.71,2,2,22,50.0,2.7,0.372,10.22,0.04,10000.0,12148.79
X:ETHUSD,1h,full,6,2.0,72,full,-0.827,-10.45,-19.23,2,1,47,44.7,-0.675,0.881,-5.2,5.73,10000.0,8955.04
X:BTCUSD,1h,base,7,2.0,72,diag,0.448,11.28,-40.27,5,3,71,49.3,0.858,2.333,3.54,16.34,10000.0,11127.99
X:SOLUSD,2h,full,6,1.0,48,full,-1.822,-11.29,-19.05,2,1,44,34.1,-1.825,2.558,-5.52,7.42,10000.0,8870.98
X:BTCUSD,3h,base,7,1.5,72,full,1.594,17.41,-10.09,5,4,33,45.5,2.086,2.135,3.37,4.63,10000.0,11741.01
X:SOLUSD,1h,full,8,1.5,48,full,-0.314,-1.22,-3.82,2,1,8,37.5,-0.66,1.607,-0.58,2.48,10000.0,9878.41
X:XRPUSD,3h,base,7,1.5,72,diag,0.054,-1.45,-15.51,2,1,9,44.4,0.202,3.242,0.12,13.0,10000.0,9854.88
X:SOLUSD,3h,base,8,1.0,48,diag,0.604,1.33,-4.54,2,1,3,66.7,0.427,0.427,0.67,0.67,10000.0,10133.19
X:SOLUSD,3h,extended,8,1.0,72,full,0.0,0.0,0.0,2,0,0,0.0,0.0,0.0,0.0,0.0,10000.0,10000.0
X:SOLUSD,1h,base,7,1.5,48,full,0.114,0.04,-13.1,2,1,39,46.2,0.059,0.606,0.07,3.27,10000.0,10003.53
X:ETHUSD,2h,extended,8,1.0,48,diag,-1.748,-5.54,-7.7,2,1,4,50.0,-0.945,2.425,-2.72,4.04,10000.0,9446.02
X:XRPUSD,1h,base,8,1.0,72,full,-0.586,-2.16,-5.04,2,1,9,33.3,-0.603,1.288,-1.06,2.22,10000.0,9784.42
X:BTCUSD,3h,full,8,2.0,72,diag,2.116,19.06,-9.6,5,3,13,69.2,2.411,2.975,3.7,5.53,10000.0,11905.65
X:XRPUSD,1h,extended,8,1.5,48,diag,0.04,-2.26,-26.67,2,0,15,40.0,-0.166,0.281,-1.14,0.39,10000.0,9773.79
X:BTCUSD,1h,base,6,1.5,72,full,-1.562,-31.49,-33.48,5,1,121,29.8,-1.964,1.388,-7.19,4.3,10000.0,6851.21
X:SOLUSD,2h,full,6,1.0,72,full,-2.05,-10.56,-13.52,2,0,34,38.2,-2.035,0.4,-5.42,1.2,10000.0,8943.93
X:SOLUSD,2h,extended,8,2.0,48,diag,0.703,5.32,-21.12,2,1,11,54.5,0.998,1.79,3.02,8.99,10000.0,10532.22
X:ETHUSD,1h,full,8,2.0,72,diag,0.076,-0.39,-22.08,2,1,12,50.0,0.811,1.929,0.2,8.86,10000.0,9960.73
X:XRPUSD,2h,extended,7,1.5,48,diag,2.555,29.77,-19.79,2,1,24,41.7,2.262,2.124,14.91,15.11,10000.0,12977.31
X:SOLUSD,3h,extended,7,1.0,48,full,3.953,20.73,-5.29,2,2,7,85.7,3.8,1.404,10.21,8.45,10000.0,12073.05
X:BTCUSD,4h,extended,6,1.5,48,diag,-1.045,-21.05,-41.95,5,3,77,42.9,-0.892,3.873,-3.63,13.5,10000.0,7894.71
X:XRPUSD,2h,extended,8,1.5,72,diag,3.285,14.93,-3.33,2,2,7,71.4,2.599,2.174,7.44,7.05,10000.0,11492.9
X:BTCUSD,3h,base,6,1.0,48,diag,-1.023,-13.99,-26.27,5,2,68,41.2,-2.015,3.526,-2.64,8.09,10000.0,8600.67
X:XRPUSD,4h,full,7,2.0,48,full,-1.932,-14.98,-21.01,2,0,12,25.0,-2.621,2.079,-7.71,3.77,10000.0,8502.43
X:ETHUSD,2h,extended,8,2.0,72,diag,-1.721,-11.1,-15.09,2,1,4,50.0,-0.902,2.419,-5.38,8.02,10000.0,8889.55
X:SOLUSD,4h,full,8,1.5,72,diag,6.24,45.63,-11.16,2,1,7,57.1,3.554,5.524,23.02,23.87,10000.0,14562.99
X:SOLUSD,1h,base,7,1.0,48,full,0.13,0.42,-8.89,2,1,39,46.2,0.072,0.621,0.23,2.27,10000.0,10041.67
X:ETHUSD,4h,base,6,2.0,48,diag,2.733,30.78,-20.1,2,1,23,47.8,2.664,3.233,16.52,22.34,10000.0,13077.82
X:SOLUSD,3h,extended,7,1.0,48,diag,2.706,21.37,-11.68,2,1,22,54.5,2.29,2.506,10.83,12.08,10000.0,12136.67
X:BTCUSD,4h,base,6,1.5,72,full,-0.694,-13.58,-39.42,5,1,69,34.8,-1.058,5.025,-1.35,18.49,10000.0,8641.69
X:XRPUSD,3h,base,8,1.0,48,full,-3.971,-3.02,-3.02,2,0,2,0.0,-3.945,0.495,-1.52,0.3,10000.0,9698.05
X:SOLUSD,3h,full,6,2.0,72,full,-4.877,-49.24,-58.54,2,0,42,38.1,-4.585,3.095,-26.79,16.82,10000.0,5076.14
X:XRPUSD,3h,base,6,1.5,72,full,-4.304,-32.06,-32.06,2,0,31,25.8,-5.185,3.421,-17.25,7.29,10000.0,6794.49
X:BTCUSD,1h,base,6,1.0,48,diag,-1.724,-31.6,-33.16,5,1,137,38.7,-1.858,1.661,-7.13,5.82,10000.0,6839.76
X:XRPUSD,4h,extended,6,1.0,72,full,0.679,2.52,-24.49,2,1,16,43.8,0.645,2.103,2.04,12.72,10000.0,10251.54
X:ETHUSD,3h,base,7,1.0,72,diag,3.085,18.48,-11.16,2,1,15,40.0,3.858,5.011,9.76,14.11,10000.0,11848.23
X:XRPUSD,2h,base,8,1.5,48,full,1.497,7.32,-6.45,2,2,5,60.0,1.792,0.16,3.61,1.66,10000.0,10732.05
X:BTCUSD,3h,base,7,1.0,48,diag,-1.941,-16.38,-22.21,5,1,38,42.1,-1.752,3.293,-3.25,7.08,10000.0,8362.47
X:ETHUSD,3h,full,7,2.0,72,diag,0.204,-0.76,-21.06,2,1,26,42.3,0.546,1.431,-0.16,6.64,10000.0,9923.93
X:SOLUSD,4h,full,6,2.0,72,diag,3.268,54.59,-26.46,2,1,22,59.1,2.694,2.491,27.71,29.18,10000.0,15459.43
